"","s_cerevisiae","s_paradoxus","s_mikatae","s_bayanus","c_glabrata","k_lactis","e_gossypii","c_albicans","d_hansenii","y_lipolytica","m_grisea","g_zeae","n_crassa","a_nidulans","s_pombe","c_neoformans","u_maydis","e_cuniculi","h_sapiens","d_melanogaster","c_elegans"
"33438882",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438883",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438884",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438885",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438886",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438887",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438888",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438889",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438890",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438891",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438892",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438893",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438894",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438895",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33438896",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33578046",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33578047",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"33578048",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362609",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"37362610",1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,0
"37362611",1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0
"37362612",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"37362614",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"37362615",1,1,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,0,1,1,1
"37362616",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37362617",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0
"37362618",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0
"37362619",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"37362620",1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0
"37362621",1,1,1,1,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1,1,1
"37362622",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,0
"37362623",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362624",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
"37362625",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,1
"37362626",1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"37362628",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0,0,0,0
"37362629",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362630",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362631",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37362632",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0,0,1,0
"37362633",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"37362634",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362635",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1
"37362636",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0
"37362637",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"37362638",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,1,1,0
"37362639",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"37362640",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"37362641",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1
"37362642",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362643",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"37362644",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37362646",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0
"37362647",1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,1,1,0,1,1,0
"37362648",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362649",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1
"37362650",1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,1,1,1
"37362651",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362652",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362653",1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0
"37362654",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0
"37362655",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"37362656",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362657",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362658",1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,0,0,0
"37362659",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
"37362660",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"37362661",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"37362662",1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
"37362663",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362665",1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1
"37362666",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"37362667",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,0
"37362668",1,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
"37362669",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37362670",1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"37362671",1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1,0,1,1,0
"37362672",1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"37362673",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"37362674",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37362675",1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362676",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362677",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"37362678",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362679",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"37362680",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"37362681",1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362682",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362683",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0,0
"37362684",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37362685",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0
"37362686",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
"37362687",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"37362688",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"37362689",1,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"37362690",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"37362691",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37362692",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"37362693",1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0
"37362694",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"37362695",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1
"37362696",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1
"37362697",1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,0
"37362699",1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,0,1,1,1
"37362700",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,0
"37362701",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37362703",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"37362704",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"37362705",1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0
"37362706",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"37362707",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0
"37362708",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"41629666",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41629667",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"41629668",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0
"41629669",1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"41629671",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,1,1,0
"41629672",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0
"41629673",1,1,1,0,0,0,0,0,1,1,1,1,1,0,0,1,0,0,1,1,1
"41629674",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0
"41629675",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41629676",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0,1,1,1
"41629677",1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,0
"41629678",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41629679",1,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"41629680",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
"41629681",1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"41629682",1,0,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,1,0
"41629684",1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41629685",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41629686",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"41629687",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"41629688",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"41629689",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
"41629691",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"41629692",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,1,0
"41629693",1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0
"41629695",1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"41629697",1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"42742057",1,1,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,0,0,0,0
"42742058",1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0
"42742173",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
"42742174",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"42742253",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"42742254",1,1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"42742255",1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"42742256",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,0
"42742257",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"42742287",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0
"10383750",1,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
"10383751",1,1,0,0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"10383753",1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,0
"10383754",1,1,1,1,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0
"10383755",1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,0,1,0,1,1,0
"10383756",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10383757",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,0
"10383758",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10383759",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10383760",1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,0
"10383761",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"10383762",1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10383763",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10383764",1,1,1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
"10383765",1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,1,1,0,0,0,0
"10383766",1,1,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1
"10383767",1,1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0,1
"10383769",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10383770",1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0
"10383771",1,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"10383772",1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"10383773",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10383774",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,1,1,0
"10383775",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"10383777",1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10383778",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10383780",1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1
"10383781",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10383782",1,1,1,1,1,1,1,0,0,1,1,1,1,0,0,0,0,0,1,0,0
"10383783",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0
"10383784",1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0
"10383785",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"10383786",1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10383787",1,1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0
"10383789",1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1
"10383790",1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0
"10383791",1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"10383792",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"10383793",1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
"10383794",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1
"10383795",1,1,1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0
"10383796",1,1,1,1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"10383797",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"10383798",1,1,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1
"10383799",1,1,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0
"10383800",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"10383801",1,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1
"10383802",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0
"10383803",1,1,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0
"10383804",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10383805",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"10383806",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
"10383807",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"10383808",1,1,1,1,1,1,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0
"10383809",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"10383810",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"10383811",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"11466068",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11466069",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11466070",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"11466071",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"12621476",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1
"12621478",1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,0,0,0,0,1,1
"13112038",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129151",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129152",1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"13129156",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129162",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129164",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,0,0,0,0
"13129166",1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,0,0,0,0,0
"13129167",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129168",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129169",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129172",1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"13129173",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129176",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129177",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129179",1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0
"13129181",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"13129182",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129183",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129184",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129187",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13129188",1,1,1,1,0,1,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"13432314",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14270687",1,1,1,1,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0
"14270688",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
"14270689",1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14318435",1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"14318436",1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"14318437",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14318438",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"14318440",1,1,1,1,1,1,1,1,1,0,1,0,0,0,1,0,0,0,1,0,0
"14318451",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14318452",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"14318453",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
"14318454",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14318455",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"14318457",1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14318458",1,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0,0
"14318459",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"14318460",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0
"14318461",1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,0,0,0,0
"14318462",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"14318463",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"14318464",1,1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,0,1,1,1
"14318465",1,1,1,1,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1
"14318466",1,1,1,1,0,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1
"14318467",1,1,1,0,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0
"14318468",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14318469",1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0
"14318470",1,1,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"14318471",1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,0,0,1,0
"14318473",1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0
"14318474",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14318475",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,0
"14318476",1,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1
"14318477",1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,1,1,0,0,1,1
"14318478",1,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"14318479",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
